seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr9	65580057	65580457	401	*	Promoter	9	65554384	65580040	25657	2	102595	ENSMUST00000068944.8	-18	ENSMUSG00000050721	Plekho2	pleckstrin homology domain containing, family O member 2
chr11	67024826	67025226	401	*	Promoter	11	67025154	67034790	9637	1	338369	ENSMUST00000079077.11	0	ENSMUSG00000050270	Tmem220	transmembrane protein 220
chr2	72979303	72980047	745	*	Promoter	2	72979424	72988442	9019	1	100503849	ENSMUST00000135297.7	0	NA	Sp3os	trans-acting transcription factor 3, opposite strand
chr18	67288893	67289293	401	*	Promoter	18	67289186	67322472	33287	1	114663	ENSMUST00000025403.7	0	ENSMUSG00000024525	Impa2	inositol monophosphatase 2
chr9	13246708	13247108	401	*	Promoter	9	13246955	13254799	7845	1	66396	ENSMUST00000169961.2	0	ENSMUSG00000079084	Ccdc82	coiled-coil domain containing 82
chr3	87617206	87617606	401	*	Promoter	3	87617559	87699145	81587	1	213498	ENSMUST00000136072.7	0	ENSMUSG00000041977	Arhgef11	Rho guanine nucleotide exchange factor (GEF) 11
chr6	145746489	145746889	401	*	Promoter	6	145746748	145821079	74332	1	71323	ENSMUST00000111704.7	0	ENSMUSG00000030259	Rassf8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
chr5	118559926	118560326	401	*	Promoter	5	118560679	118720114	159436	1	76199	ENSMUST00000201614.1	-353	ENSMUSG00000018076	Med13l	mediator complex subunit 13-like
chr7	118517833	118518233	401	*	Intron (ENSMUST00000098090.9/12850, intron 5 of 6)	7	118525189	118533297	8109	2	12850	ENSMUST00000209146.1	15064	ENSMUSG00000030652	Coq7	demethyl-Q 7
chr10	22074514	22074914	401	*	Exon (ENSMUST00000180720.1/ENSMUST00000180720.1, exon 1 of 4)	10	22066307	22068079	1773	2	114671	ENSMUST00000092672.5	-6436	ENSMUSG00000069712	4930444G20Rik	RIKEN cDNA 4930444G20 gene
chr11	50236607	50237007	401	*	Promoter	11	50236461	50237557	1097	2	17001	ENSMUST00000221391.1	550	ENSMUSG00000020377	Ltc4s	leukotriene C4 synthase
chr7	65644520	65644920	401	*	Promoter	7	65644898	65683814	38917	1	272396	ENSMUST00000126941.1	0	ENSMUSG00000030515	Tarsl2	threonyl-tRNA synthetase-like 2
chr17	22876289	22876689	401	*	Distal Intergenic	17	22861729	22867134	5406	2	240041	ENSMUST00000127557.1	-9156	ENSMUSG00000059142	Zfp945	zinc finger protein 945
chr5	140648966	140649366	401	*	Promoter	5	140620578	140649025	28448	2	78339	ENSMUST00000197452.4	0	ENSMUSG00000036565	Ttyh3	tweety family member 3
chr16	14159214	14159614	401	*	Promoter	16	14109173	14159267	50095	2	223989	ENSMUST00000090300.5	0	ENSMUSG00000060657	Marf1	meiosis regulator and mRNA stability 1
chr7	104353242	104353642	401	*	Promoter	7	104338754	104353362	14609	2	319236	ENSMUST00000059037.14	0	ENSMUSG00000057143	Trim12c	tripartite motif-containing 12C
chr11	82870998	82871398	401	*	Promoter	11	82803822	82871210	67389	2	67338	ENSMUST00000071152.13	0	ENSMUSG00000020696	Rffl	ring finger and FYVE like domain containing protein
chrX	135564916	135565316	401	*	Distal Intergenic	20	135584380	135586133	1754	2	170722	ENSMUST00000127202.1	20817	ENSMUSG00000031410	Nxf7	nuclear RNA export factor 7
chr10	20966075	20966475	401	*	Intron (ENSMUST00000105525.11/52906, intron 6 of 23)	10	20959684	21080429	120746	1	52906	ENSMUST00000213104.1	6392	ENSMUSG00000019986	Ahi1	Abelson helper integration site 1
chr5	75044384	75044784	401	*	Promoter	5	74997988	75044774	46787	2	74277	ENSMUST00000075452.6	0	ENSMUSG00000029229	Chic2	cysteine-rich hydrophobic domain 2
chr3	35753813	35754213	401	*	Promoter	3	35754134	35829688	75555	1	76295	ENSMUST00000200445.4	0	ENSMUSG00000037400	Atp11b	ATPase, class VI, type 11B
chr2	167349171	167349571	401	*	Promoter	2	167298444	167349183	50740	2	56336	ENSMUST00000109221.8	0	ENSMUSG00000017929	B4galt5	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5
chr10	61715046	61715446	401	*	Promoter	10	61715263	61738653	23391	1	71361	ENSMUST00000105455.8	0	ENSMUSG00000020085	Aifm2	apoptosis-inducing factor, mitochondrion-associated 2
chr17	83214959	83215359	401	*	Promoter	17	83215292	83225070	9779	1	106522	ENSMUST00000170794.7	0	ENSMUSG00000024247	Pkdcc	protein kinase domain containing, cytoplasmic
chr10	116950335	116950735	401	*	Promoter	10	116905784	116950380	44597	2	216363	ENSMUST00000020375.6	0	ENSMUSG00000064181	Rab3ip	RAB3A interacting protein
chr12	113000640	113001040	401	*	Promoter	12	112960085	113000704	40620	2	72308	ENSMUST00000011302.8	0	ENSMUSG00000011158	Brf1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit
chr5	103911031	103911431	401	*	Promoter	5	103862050	103911259	49210	2	246293	ENSMUST00000031254.8	0	ENSMUSG00000029312	Klhl8	kelch-like 8
chr13	5704965	5705365	401	*	Intron (ENSMUST00000222871.1/ENSMUST00000222871.1, intron 1 of 2)	13	5855515	5857561	2047	2	71867	ENSMUST00000223142.1	152196	ENSMUSG00000100625	1700016G22Rik	RIKEN cDNA 1700016G22 gene
chr9	54560144	54560544	401	*	Promoter	9	54544794	54560218	15425	2	56506	ENSMUST00000041901.6	0	ENSMUSG00000037493	Cib2	calcium and integrin binding family member 2
chr11	118102897	118103297	401	*	Intron (ENSMUST00000084803.11/69926, intron 20 of 80)	11	118087327	118093702	6376	2	69926	ENSMUST00000018719.3	-9196	ENSMUSG00000033987	Dnah17	dynein, axonemal, heavy chain 17
chr2	122368952	122369352	401	*	Promoter	2	122349128	122369137	20010	2	435684	ENSMUST00000151130.7	0	ENSMUSG00000033256	Shf	Src homology 2 domain containing F
chr5	105139453	105139853	401	*	Promoter	5	105115767	105139586	23820	2	17472	ENSMUST00000100962.7	0	ENSMUSG00000079363	Gbp4	guanylate binding protein 4
chr4	141994058	141994458	401	*	Intron (ENSMUST00000105780.7/329977, intron 3 of 32)	4	141982992	141986797	3806	1	545691	ENSMUST00000146094.1	11067	ENSMUSG00000085424	Fhad1os1	forkhead-associated (FHA) phosphopeptide binding domain 1, opposite strand 1
chr1	13589829	13590229	401	*	Promoter	1	13564698	13589910	25213	2	72265	ENSMUST00000027068.10	0	ENSMUSG00000025935	Tram1	translocating chain-associating membrane protein 1
chr9	121297331	121297731	401	*	Promoter	9	121297502	121473617	176116	1	67095	ENSMUST00000211301.1	0	ENSMUSG00000032536	Trak1	trafficking protein, kinesin binding 1
chr4	151044520	151044920	401	*	Promoter	4	151003652	151044665	41014	2	18628	ENSMUST00000103204.10	0	ENSMUSG00000028957	Per3	period circadian clock 3
chr1	92910557	92910957	401	*	Promoter	1	92910783	92920841	10059	1	108657	ENSMUST00000027487.14	0	ENSMUSG00000026269	Rnpepl1	arginyl aminopeptidase (aminopeptidase B)-like 1
chr13	29984232	29984632	401	*	Promoter	13	29906575	29984391	77817	2	13557	ENSMUST00000221536.1	0	ENSMUSG00000016477	E2f3	E2F transcription factor 3
chr7	100539495	100539895	401	*	3' UTR	7	100537232	100539779	2548	1	68185	ENSMUST00000120454.2	2264	ENSMUSG00000044881	Coa4	cytochrome c oxidase assembly factor 4
chr10	128376866	128377266	401	*	Promoter	10	128377115	128385496	8382	1	237615	ENSMUST00000167990.1	0	ENSMUSG00000014498	Ankrd52	ankyrin repeat domain 52
chr10	88503963	88504363	401	*	Promoter	10	88469514	88504073	34560	2	212862	ENSMUST00000117440.7	0	ENSMUSG00000060002	Chpt1	choline phosphotransferase 1
chr2	122028350	122028750	401	*	Promoter	2	122028652	122029328	677	1	100042807	ENSMUST00000142747.1	0	ENSMUSG00000043424	Eif3j2	eukaryotic translation initiation factor 3, subunit J2
chr11	49901579	49901979	401	*	Promoter	11	49901835	49980222	78388	1	74563	ENSMUST00000093141.11	0	ENSMUSG00000020374	Rasgef1c	RasGEF domain family, member 1C
chr11	106920676	106921076	401	*	Promoter	11	106820066	106920715	100650	2	66313	ENSMUST00000103067.9	0	ENSMUSG00000018363	Smurf2	SMAD specific E3 ubiquitin protein ligase 2
chr14	14702681	14703081	401	*	Promoter	14	14703025	14775512	72488	1	218756	ENSMUST00000225496.1	0	ENSMUSG00000021733	Slc4a7	solute carrier family 4, sodium bicarbonate cotransporter, member 7
chr15	84987937	84988337	401	*	Promoter	15	84943936	84988000	44065	2	223739	ENSMUST00000047144.12	0	ENSMUSG00000036046	5031439G07Rik	RIKEN cDNA 5031439G07 gene
chr10	84533893	84534293	401	*	Promoter	10	84526305	84534062	7758	2	216197	ENSMUST00000053871.4	0	ENSMUSG00000046841	Ckap4	cytoskeleton-associated protein 4
chr10	40576265	40576665	401	*	Intron (ENSMUST00000078314.13/70840, intron 2 of 7)	10	40570613	40604128	33516	1	70840	ENSMUST00000019978.8	5653	ENSMUSG00000019834	Slc22a16	solute carrier family 22 (organic cation transporter), member 16
chr1	37419414	37419814	401	*	3' UTR	1	37417084	37430103	13020	2	76178	ENSMUST00000027286.6	10289	ENSMUSG00000026112	Coa5	cytochrome C oxidase assembly factor 5
chr3	40949463	40949863	401	*	Promoter	3	40949828	40977782	27955	1	214048	ENSMUST00000048490.12	0	ENSMUSG00000025762	Larp1b	La ribonucleoprotein domain family, member 1B
chr2	170131050	170131450	401	*	Promoter	2	170108643	170131220	22578	2	228913	ENSMUST00000063710.12	0	ENSMUSG00000052056	Zfp217	zinc finger protein 217
chr12	3806207	3806607	401	*	Promoter	12	3806498	3867484	60987	1	13435	ENSMUST00000085826.12	0	ENSMUSG00000020661	Dnmt3a	DNA methyltransferase 3A
chr7	67630862	67631262	401	*	Intron (ENSMUST00000053950.9/67867, intron 2 of 9)	7	67531655	67620027	88373	2	67867	ENSMUST00000190770.6	-10836	ENSMUSG00000030556	Lrrc28	leucine rich repeat containing 28
chr1	162531611	162532011	401	*	Downstream (<1kb)	1	162535842	162544362	8521	2	71449	ENSMUST00000176220.2	12351	ENSMUSG00000026694	Eef1aknmt	EEF1A lysine and N-terminal methyltransferase
chr13	91460865	91461265	401	*	Promoter	13	91461050	91703429	242380	1	66970	ENSMUST00000004094.14	0	ENSMUSG00000003992	Ssbp2	single-stranded DNA binding protein 2
chr2	49451305	49451705	401	*	Promoter	2	49451486	49551948	100463	1	227867	ENSMUST00000092123.10	0	ENSMUSG00000069495	Epc2	enhancer of polycomb homolog 2
chr19	43940025	43940425	401	*	Promoter	19	43846821	43940191	93371	2	71972	ENSMUST00000212396.1	0	ENSMUSG00000025195	Dnmbp	dynamin binding protein
chr8	13338512	13338912	401	*	Promoter	8	13338751	13378448	39698	1	21781	ENSMUST00000209885.1	0	ENSMUSG00000038482	Tfdp1	transcription factor Dp 1
chr1	23383189	23383589	401	*	Promoter	1	23366424	23383175	16752	2	70155	ENSMUST00000027343.5	-15	ENSMUSG00000026158	Ogfrl1	opioid growth factor receptor-like 1
chr10	122886113	122886513	401	*	Exon (ENSMUST00000161371.1/319468, exon 4 of 4)	10	122895368	122941449	46082	1	319468	ENSMUST00000162969.1	-8855	ENSMUSG00000034613	Ppm1h	protein phosphatase 1H (PP2C domain containing)
chr7	44590550	44590950	401	*	Promoter	7	44590664	44601080	10417	1	16504	ENSMUST00000209177.1	0	ENSMUSG00000062785	Kcnc3	potassium voltage gated channel, Shaw-related subfamily, member 3
chr5	122284088	122284488	401	*	Promoter	5	122284365	122324281	39917	1	320717	ENSMUST00000053426.14	0	ENSMUSG00000038582	Pptc7	PTC7 protein phosphatase homolog
chr15	64312496	64312896	401	*	Promoter	15	64086857	64312673	225817	2	13196	ENSMUST00000177371.7	0	ENSMUSG00000022377	Asap1	ArfGAP with SH3 domain, ankyrin repeat and PH domain1
chr4	20041835	20042235	401	*	Promoter	4	20042052	20066750	24699	1	14590	ENSMUST00000098242.3	0	ENSMUSG00000073987	Ggh	gamma-glutamyl hydrolase
chr10	127739239	127739639	401	*	Promoter	10	127739538	127747349	7812	1	320080	ENSMUST00000054287.8	0	ENSMUSG00000044617	Zbtb39	zinc finger and BTB domain containing 39
chr2	166713756	166714156	401	*	Promoter	2	166566342	166713832	147491	2	277360	ENSMUST00000036719.11	0	ENSMUSG00000039621	Prex1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1
chrX	13071131	13071531	401	*	Promoter	20	13071498	13123449	51952	1	22284	ENSMUST00000169594.8	0	ENSMUSG00000031010	Usp9x	ubiquitin specific peptidase 9, X chromosome
chr7	141561955	141562355	401	*	Promoter	7	141562173	141633011	70839	1	11772	ENSMUST00000003038.11	0	ENSMUSG00000002957	Ap2a2	adaptor-related protein complex 2, alpha 2 subunit
chr2	181459351	181459751	401	*	Promoter	2	181387762	181459426	71665	2	72147	ENSMUST00000029106.12	0	ENSMUSG00000027583	Zbtb46	zinc finger and BTB domain containing 46
chr12	100465182	100465582	401	*	Promoter	12	100387184	100466298	79115	2	104718	ENSMUST00000223514.1	716	ENSMUSG00000033530	Ttc7b	tetratricopeptide repeat domain 7B
chr5	24451523	24451923	401	*	Promoter	5	24452177	24502047	49871	1	213990	ENSMUST00000024123.8	-254	ENSMUSG00000023353	Agap3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
chr4	133633349	133633749	401	*	Promoter	4	133605299	133633469	28171	2	503610	ENSMUST00000084238.4	0	ENSMUSG00000037553	Zdhhc18	zinc finger, DHHC domain containing 18
chr3	127896163	127896563	401	*	Promoter	3	127869058	127896324	27267	2	70617	ENSMUST00000199273.1	0	ENSMUSG00000050549	Fam241a	family with sequence similarity 241, member A
chr9	21146737	21147137	401	*	Intron (ENSMUST00000019615.10/12539, intron 1 of 7)	9	21140953	21149942	8990	2	12539	ENSMUST00000215296.1	2805	ENSMUSG00000019471	Cdc37	cell division cycle 37
chr2	26933248	26933648	401	*	Promoter	2	26921962	26933383	11422	2	20932	ENSMUST00000153641.7	0	ENSMUSG00000014867	Surf4	surfeit gene 4
chr17	28801458	28801858	401	*	Promoter	17	28801784	28806308	4525	1	268936	ENSMUST00000136233.1	0	ENSMUSG00000063952	Brpf3	bromodomain and PHD finger containing, 3
chr6	91059752	91060152	401	*	Intron (ENSMUST00000032179.13/54563, intron 16 of 39)	6	91013070	91055384	42315	2	54563	ENSMUST00000142951.8	-4369	ENSMUSG00000030091	Nup210	nucleoporin 210
chr16	93711575	93711975	401	*	Promoter	16	93711904	93810588	98685	1	70028	ENSMUST00000045004.10	0	ENSMUSG00000022946	Dop1b	DOP1 leucine zipper like protein B
chr7	139388663	139389063	401	*	Promoter	7	139389109	139579652	190544	1	212111	ENSMUST00000106098.7	-46	ENSMUSG00000025477	Inpp5a	inositol polyphosphate-5-phosphatase A
chr7	126482351	126482751	401	*	Distal Intergenic	7	126487361	126490727	3367	1	233870	ENSMUST00000098048.5	-4610	ENSMUSG00000073838	Tufm	Tu translation elongation factor, mitochondrial
chr1	80340615	80341015	401	*	Promoter	1	80264923	80340480	75558	2	26554	ENSMUST00000163119.7	-136	ENSMUSG00000004364	Cul3	cullin 3
chr17	34591985	34592385	401	*	Promoter	17	34592263	34597400	5138	1	18515	ENSMUST00000038149.12	0	ENSMUSG00000034673	Pbx2	pre B cell leukemia homeobox 2
chr14	34502584	34502984	401	*	Promoter	14	34410734	34502687	91954	2	12166	ENSMUST00000049005.14	0	ENSMUSG00000021796	Bmpr1a	bone morphogenetic protein receptor, type 1A
chr16	70479948	70480348	401	*	Intron (ENSMUST00000163832.7/74185, intron 8 of 15)	16	70560994	70569498	8505	1	74185	ENSMUST00000169432.1	-80646	ENSMUSG00000022707	Gbe1	glucan (1,4-alpha-), branching enzyme 1
chr18	34373178	34373578	401	*	Promoter	18	34344885	34373369	28485	2	13476	ENSMUST00000006027.6	0	ENSMUSG00000005873	Reep5	receptor accessory protein 5
chr10	63338891	63339291	401	*	Promoter	10	63319007	63339032	20026	2	93759	ENSMUST00000020257.12	0	ENSMUSG00000020063	Sirt1	sirtuin 1
chr8	70282742	70283142	401	*	Promoter	8	70282827	70286530	3704	1	26558	ENSMUST00000087467.11	0	ENSMUSG00000003573	Homer3	homer scaffolding protein 3
chr13	59557106	59557506	401	*	Promoter	13	59445742	59557311	111570	2	67269	ENSMUST00000022040.13	0	ENSMUSG00000021557	Agtpbp1	ATP/GTP binding protein 1
chr1	74415149	74415549	401	*	Exon (ENSMUST00000027366.12/22349, exon 2 of 20)	1	74419053	74423018	3966	1	22349	ENSMUST00000159749.1	-3504	ENSMUSG00000026175	Vil1	villin 1
chr5	64802946	64803346	401	*	Promoter	5	64803388	64832901	29514	1	16599	ENSMUST00000165536.7	-42	ENSMUSG00000029178	Klf3	Kruppel-like factor 3 (basic)
chr4	155563306	155563706	401	*	Promoter	4	155563700	155591001	27302	1	192185	ENSMUST00000105613.9	0	ENSMUSG00000029063	Nadk	NAD kinase
chr15	101173717	101174117	401	*	Promoter	15	101174067	101213684	39618	1	11479	ENSMUST00000000544.11	0	ENSMUSG00000000532	Acvr1b	activin A receptor, type 1B
chr6	72899171	72899571	401	*	Promoter	6	72842569	72899292	56724	2	74287	ENSMUST00000204598.2	0	ENSMUSG00000055239	Kcmf1	potassium channel modulatory factor 1
chr14	121379168	121379568	401	*	Promoter	14	121286343	121379334	92992	2	223255	ENSMUST00000079817.7	0	ENSMUSG00000063410	Stk24	serine/threonine kinase 24
chr9	20998331	20998731	401	*	Distal Intergenic	9	21002738	21008839	6102	1	66163	ENSMUST00000003386.6	-4007	ENSMUSG00000003299	Mrpl4	mitochondrial ribosomal protein L4
chr19	6969637	6970037	401	*	Promoter	19	6953713	6969814	16102	2	18797	ENSMUST00000025912.9	0	ENSMUSG00000024960	Plcb3	phospholipase C, beta 3
chr10	81244608	81245008	401	*	Exon (ENSMUST00000117798.7/103406, exon 8 of 18)	10	81248416	81251712	3297	1	103406	ENSMUST00000137999.1	-3408	ENSMUSG00000034949	Zfr2	zinc finger RNA binding protein 2
chr3	138742000	138742400	401	*	Promoter	3	138742195	138907905	165711	1	56224	ENSMUST00000029800.8	0	ENSMUSG00000028152	Tspan5	tetraspanin 5
chr2	26646894	26647294	401	*	Distal Intergenic	2	26639190	26639321	132	2	100306954	ENSMUST00000104004.3	-7574	ENSMUSG00000077192	Snora17	small nucleolar RNA, H/ACA box 17
chr11	116138814	116139214	401	*	Promoter	11	116131817	116138868	7052	2	60441	ENSMUST00000106439.1	0	ENSMUSG00000020775	Mrpl38	mitochondrial ribosomal protein L38
chr14	45350882	45351282	401	*	Promoter	14	45351093	45385507	34415	1	56291	ENSMUST00000226873.1	0	ENSMUSG00000053205	Styx	serine/threonine/tyrosine interaction protein
chr7	45136266	45136666	401	*	Promoter	7	45129939	45136417	6479	2	14256	ENSMUST00000211503.1	0	ENSMUSG00000110206	Flt3l	FMS-like tyrosine kinase 3 ligand
chr5	105293509	105293909	401	*	Promoter	5	105270702	105293684	22983	2	100702	ENSMUST00000200045.4	0	ENSMUSG00000104713	Gbp6	guanylate binding protein 6
chr3	10351160	10351560	401	*	Promoter	3	10339953	10351317	11365	2	66361	ENSMUST00000037839.11	0	ENSMUSG00000039795	Zfand1	zinc finger, AN1-type domain 1
chr3	38484821	38485221	401	*	Promoter	3	38449259	38484844	35586	2	99696	ENSMUST00000120875.7	0	ENSMUSG00000044864	Ankrd50	ankyrin repeat domain 50
chr10	80656403	80656803	401	*	Promoter	10	80642617	80656494	13878	2	208198	ENSMUST00000126980.7	0	ENSMUSG00000003344	Btbd2	BTB (POZ) domain containing 2
chr18	82692306	82692706	401	*	Promoter	18	82597155	82692734	95580	2	329002	ENSMUST00000182122.7	28	ENSMUSG00000041258	Zfp236	zinc finger protein 236
chr7	27490722	27491122	401	*	Distal Intergenic	7	27487375	27489507	2133	1	55942	ENSMUST00000135881.1	3348	ENSMUSG00000008384	Sertad1	SERTA domain containing 1
chr12	108275332	108275732	401	*	Promoter	12	108203602	108275425	71824	2	668158	ENSMUST00000222310.1	0	ENSMUSG00000084883	Ccdc85c	coiled-coil domain containing 85C
chr11	118104024	118104424	401	*	Exon (ENSMUST00000084803.11/69926, exon 19 of 81)	11	118087327	118093702	6376	2	69926	ENSMUST00000018719.3	-10323	ENSMUSG00000033987	Dnah17	dynein, axonemal, heavy chain 17
chr15	78982606	78983006	401	*	Promoter	15	78983041	79005864	22824	1	110253	ENSMUST00000109687.8	-35	ENSMUSG00000033088	Triobp	TRIO and F-actin binding protein
chr4	108300960	108301360	401	*	Promoter	4	108229724	108301096	71373	2	414872	ENSMUST00000043616.6	0	ENSMUSG00000034636	Zyg11b	zyg-ll family member B, cell cycle regulator
chr12	69513191	69513591	401	*	Distal Intergenic	12	69473614	69475550	1937	2	76062	ENSMUST00000222980.1	-37642	ENSMUSG00000113035	5830428M24Rik	RIKEN cDNA 5830428M24 gene
chr6	108705989	108706389	401	*	Distal Intergenic	6	108577039	108660934	83896	2	75394	ENSMUST00000137478.3	-45056	ENSMUSG00000087341	0610040F04Rik	RIKEN cDNA 0610040F04 gene
chrX	159371830	159372230	401	*	Promoter	20	159372178	159376558	4381	1	66235	ENSMUST00000133252.1	0	ENSMUSG00000067194	Eif1ax	eukaryotic translation initiation factor 1A, X-linked
chr7	105633412	105633812	401	*	Promoter	7	105604463	105633508	29046	2	55992	ENSMUST00000106791.7	0	ENSMUSG00000036989	Trim3	tripartite motif-containing 3
chr10	44341869	44342269	401	*	Intron (ENSMUST00000039286.4/11793, intron 6 of 7)	10	44359676	44359768	93	1	100316688	ENSMUST00000158635.1	-17407	ENSMUSG00000089260	Mir1929	microRNA 1929
chr17	35556825	35557225	401	*	3' UTR	17	35552128	35557180	5053	1	386463	ENSMUST00000044804.7	4698	ENSMUSG00000039518	Cdsn	corneodesmosin
chr11	62648548	62648948	401	*	Promoter	11	62648664	62664859	16196	1	216829	ENSMUST00000062860.4	0	ENSMUSG00000048497	Mmgt2	membrane magnesium transporter 2
chr14	20793853	20794253	401	*	Promoter	14	20794239	20796560	2322	1	102631887	ENSMUST00000224276.1	0	ENSMUSG00000114241	Gm30108	predicted gene, 30108
chr7	113084894	113085294	401	*	Distal Intergenic	7	113100234	113142015	41782	2	75239	ENSMUST00000210408.1	56721	ENSMUSG00000110009	4930543E12Rik	RIKEN cDNA 4930543E12 gene
chr16	32643643	32644043	401	*	Promoter	16	32643874	32668279	24406	1	51789	ENSMUST00000145627.7	0	ENSMUSG00000022791	Tnk2	tyrosine kinase, non-receptor, 2
chr2	130642635	130643035	401	*	Promoter	2	130632842	130642803	9962	2	241638	ENSMUST00000045761.6	0	ENSMUSG00000037703	Lzts3	leucine zipper, putative tumor suppressor family member 3
chr15	81392999	81393399	401	*	Exon (ENSMUST00000230906.1/ENSMUST00000230906.1, exon 1 of 1)	15	81377763	81399383	21621	2	70356	ENSMUST00000165582.1	5984	ENSMUSG00000022403	St13	suppression of tumorigenicity 13
chr10	27116939	27117339	401	*	Intron (ENSMUST00000092639.11/16773, intron 37 of 64)	10	26981495	27056645	75151	2	16773	ENSMUST00000219763.1	-60295	ENSMUSG00000019899	Lama2	laminin, alpha 2
chr1	135752948	135753348	401	*	Distal Intergenic	1	135766119	135769136	3018	1	27280	ENSMUST00000038945.5	-12771	ENSMUSG00000041801	Phlda3	pleckstrin homology like domain, family A, member 3
chr3	22075942	22076342	401	*	Promoter	3	22076652	22216594	139943	1	81004	ENSMUST00000193734.5	-310	ENSMUSG00000027630	Tbl1xr1	transducin (beta)-like 1X-linked receptor 1
chr3	89421360	89421760	401	*	Promoter	3	89421628	89429099	7472	1	20416	ENSMUST00000094378.9	0	ENSMUSG00000042626	Shc1	src homology 2 domain-containing transforming protein C1
chr9	40631101	40631501	401	*	Distal Intergenic	9	40685962	40761060	75099	1	71566	ENSMUST00000139577.1	-54461	ENSMUSG00000032024	Clmp	CXADR-like membrane protein
chr11	95336608	95337008	401	*	Promoter	11	95337018	95381872	44855	1	215512	ENSMUST00000037502.6	-10	ENSMUSG00000038893	Fam117a	family with sequence similarity 117, member A
chr17	65951035	65951435	401	*	Promoter	17	65921972	65951115	29144	2	65960	ENSMUST00000233580.1	0	ENSMUSG00000024098	Twsg1	twisted gastrulation BMP signaling modulator 1
chr1	64737694	64738094	401	*	Promoter	1	64730558	64737751	7194	2	14367	ENSMUST00000063982.6	0	ENSMUSG00000045005	Fzd5	frizzled class receptor 5
chr12	81859724	81860124	401	*	Promoter	12	81860023	81997114	137092	1	54604	ENSMUST00000221721.1	0	ENSMUSG00000021140	Pcnx	pecanex homolog
chr8	110863970	110864370	401	*	Promoter	8	110863100	110866654	3555	1	102339	ENSMUST00000173794.1	871	ENSMUSG00000031753	Cog4	component of oligomeric golgi complex 4
chr2	117405481	117405881	401	*	Distal Intergenic	2	117279993	117343001	63009	2	19419	ENSMUST00000102534.10	-62481	ENSMUSG00000027347	Rasgrp1	RAS guanyl releasing protein 1
chr11	5261520	5261920	401	*	Promoter	11	5191552	5261558	70007	2	84035	ENSMUST00000020662.14	0	ENSMUSG00000020393	Kremen1	kringle containing transmembrane protein 1
chr8	95488687	95489087	401	*	Promoter	8	95446096	95488827	42732	2	13000	ENSMUST00000056919.8	0	ENSMUSG00000046707	Csnk2a2	casein kinase 2, alpha prime polypeptide
chr10	22070163	22070563	401	*	Distal Intergenic	10	22066307	22068079	1773	2	114671	ENSMUST00000092672.5	-2085	ENSMUSG00000069712	4930444G20Rik	RIKEN cDNA 4930444G20 gene
